Year,sector,avg_return,volatility,avg_adj_close,avg_volume,avg_range_pct,sector_growth_yoy
2006,Auto Components,0.0013892872991726,0.0365729124806799,141.70629522026297,739823.7569721115,-0.2500082223696418,-0.0289051068613765
2007,Auto Components,0.0009058077270102,0.0337198777508208,248.31193431982408,818817.9076996653,-0.6967728407862621,75.22999520512288
2008,Auto Components,-0.0036552070138605,0.0647725476128223,171.41838209418728,832691.8462889767,-1.1844641440688923,-30.96651493463799
2009,Auto Components,0.0061109045839941,0.0760077639206871,33.3901683796046,987597.1578483244,-2.868807534053309,-80.52124400447434
2010,Auto Components,0.0024543103191426,0.0611223351004123,32.68418889467784,890066.057319224,-1.5751366292837563,-2.114333407668567
2011,Auto Components,1.3081973437804282e-05,0.0510232296328512,21.45164794176554,1047335.8862433862,-3.528148198913762,-34.366895226031936
2012,Auto Components,0.0014579076106281,0.0382504192394195,15.33634278371599,1054331.3475555556,-3.674574232961355,-28.50739101560251
2013,Auto Components,0.0023495475426809,0.034282455484884,16.662998183360326,881624.247361756,-2.7346885882235967,8.650402630886479
2014,Auto Components,0.0012591045559482,0.0452103378533897,23.54890804924662,921276.0476190476,-2.451475918494407,41.32455510174972
2015,Auto Components,-0.000157331465273,0.0334418086167589,22.43148804964527,677848.8218253969,-2.582697899116917,-4.7451032432779705
2016,Auto Components,0.000573676881739,0.0373535461075846,21.10481629452062,724134.2396825397,-2.546052812954932,-5.91432789562808
2017,Auto Components,0.0007449971092524,0.0292360206729971,25.86196317770092,616055.7051792828,-2.2398362044395848,22.540574704814563
2018,Auto Components,-0.001353253804389,0.0435659451023843,25.93519953958304,683933.1792828685,-1.929697152677745,0.2831817576218309
2019,Auto Components,0.0010205698613291,0.0381060326691631,26.13330283326407,694110.3571428572,-1.1864018673124566,0.7638394814687199
2020,Auto Components,0.0043032980374462,0.0881634266526226,26.916344167121316,1407607.9051383398,-0.7511169705451659,2.9963351316640185
2021,Auto Components,0.0011801789430417,0.0497187668642795,41.96348823623525,1007090.238095238,-0.3057629118662873,55.903372225022416
2022,Auto Components,0.0004280851856355,0.0520767920645333,31.88928769711137,770161.1635140815,-0.2402856449275825,-24.00706176381413
1981,Banking,0.0004386480236592,0.0104523253050115,0.8303520133883271,21086.72815107598,24.97210910512246,12.88383186860944
1982,Banking,0.0005003807817047,0.0149201554710365,0.7921238814833974,34848.71953327571,43.845557871708735,-4.60384647577794
1983,Banking,0.0013081883602934,0.0123818991000973,0.923196827077035,39774.88482047636,87.23422902378127,16.547026122754872
